zone1,zone2,year,unit,value
bus210,bus205,2020,years,100.0
bus206,bus210,2020,years,100.0
bus210,bus206,2020,years,100.0
bus207,bus208,2020,years,100.0
bus208,bus207,2020,years,100.0
bus208,bus209,2020,years,100.0
bus209,bus208,2020,years,100.0
bus208,bus210,2020,years,100.0
bus210,bus208,2020,years,100.0
bus209,bus211,2020,years,100.0
bus211,bus209,2020,years,100.0
bus209,bus212,2020,years,100.0
bus212,bus209,2020,years,100.0
bus210,bus211,2020,years,100.0
bus211,bus210,2020,years,100.0
bus210,bus212,2020,years,100.0
bus212,bus210,2020,years,100.0
bus211,bus213,2020,years,100.0
bus213,bus211,2020,years,100.0
bus211,bus214,2020,years,100.0
bus214,bus211,2020,years,100.0
bus212,bus213,2020,years,100.0
bus213,bus212,2020,years,100.0
bus212,bus223,2020,years,100.0
bus223,bus212,2020,years,100.0
bus213,bus223,2020,years,100.0
bus223,bus213,2020,years,100.0
bus214,bus216,2020,years,100.0
bus216,bus214,2020,years,100.0
bus215,bus216,2020,years,100.0
bus216,bus215,2020,years,100.0
bus215,bus221,2020,years,100.0
bus221,bus215,2020,years,100.0
bus215,bus224,2020,years,100.0
bus224,bus215,2020,years,100.0
bus216,bus217,2020,years,100.0
bus217,bus216,2020,years,100.0
bus216,bus219,2020,years,100.0
bus219,bus216,2020,years,100.0
bus217,bus218,2020,years,100.0
bus218,bus217,2020,years,100.0
bus217,bus222,2020,years,100.0
bus222,bus217,2020,years,100.0
bus218,bus221,2020,years,100.0
bus221,bus218,2020,years,100.0
bus219,bus220,2020,years,100.0
bus220,bus219,2020,years,100.0
bus220,bus223,2020,years,100.0
bus223,bus220,2020,years,100.0
bus221,bus222,2020,years,100.0
bus222,bus221,2020,years,100.0
bus301,bus302,2020,years,100.0
bus302,bus301,2020,years,100.0
bus301,bus303,2020,years,100.0
bus303,bus301,2020,years,100.0
bus301,bus305,2020,years,100.0
bus305,bus301,2020,years,100.0
bus302,bus304,2020,years,100.0
bus304,bus302,2020,years,100.0
bus302,bus306,2020,years,100.0
bus306,bus302,2020,years,100.0
bus303,bus309,2020,years,100.0
bus309,bus303,2020,years,100.0
bus303,bus324,2020,years,100.0
bus324,bus303,2020,years,100.0
bus304,bus309,2020,years,100.0
bus309,bus304,2020,years,100.0
bus305,bus310,2020,years,100.0
bus310,bus305,2020,years,100.0
bus306,bus310,2020,years,100.0
bus310,bus306,2020,years,100.0
bus307,bus308,2020,years,100.0
bus308,bus307,2020,years,100.0
bus308,bus309,2020,years,100.0
bus309,bus308,2020,years,100.0
bus308,bus310,2020,years,100.0
bus310,bus308,2020,years,100.0
bus309,bus311,2020,years,100.0
bus311,bus309,2020,years,100.0
bus309,bus312,2020,years,100.0
bus312,bus309,2020,years,100.0
bus310,bus311,2020,years,100.0
bus311,bus310,2020,years,100.0
bus310,bus312,2020,years,100.0
bus312,bus310,2020,years,100.0
bus311,bus313,2020,years,100.0
bus313,bus311,2020,years,100.0
bus311,bus314,2020,years,100.0
bus314,bus311,2020,years,100.0
bus312,bus313,2020,years,100.0
bus313,bus312,2020,years,100.0
bus312,bus323,2020,years,100.0
bus323,bus312,2020,years,100.0
bus313,bus323,2020,years,100.0
bus323,bus313,2020,years,100.0
bus314,bus316,2020,years,100.0
bus316,bus314,2020,years,100.0
bus315,bus316,2020,years,100.0
bus316,bus315,2020,years,100.0
bus315,bus321,2020,years,100.0
bus321,bus315,2020,years,100.0
bus315,bus324,2020,years,100.0
bus324,bus315,2020,years,100.0
bus316,bus317,2020,years,100.0
bus317,bus316,2020,years,100.0
bus316,bus319,2020,years,100.0
bus319,bus316,2020,years,100.0
bus317,bus318,2020,years,100.0
bus318,bus317,2020,years,100.0
bus317,bus322,2020,years,100.0
bus322,bus317,2020,years,100.0
bus318,bus321,2020,years,100.0
bus321,bus318,2020,years,100.0
bus319,bus320,2020,years,100.0
bus320,bus319,2020,years,100.0
bus320,bus323,2020,years,100.0
bus323,bus320,2020,years,100.0
bus321,bus322,2020,years,100.0
bus322,bus321,2020,years,100.0
bus107,bus203,2020,years,100.0
bus203,bus107,2020,years,100.0
bus113,bus215,2020,years,100.0
bus215,bus113,2020,years,100.0
bus123,bus217,2020,years,100.0
bus217,bus123,2020,years,100.0
bus223,bus318,2020,years,100.0
bus318,bus223,2020,years,100.0
bus325,bus121,2020,years,100.0
bus121,bus325,2020,years,100.0
