zone1,zone2,year,unit,value
bus234,bus229,2023,dollar/MWh,0.01
bus229,bus265,2023,dollar/MWh,0.01
bus265,bus229,2023,dollar/MWh,0.01
bus23,bus24,2023,dollar/MWh,0.01
bus24,bus23,2023,dollar/MWh,0.01
bus23,bus43,2023,dollar/MWh,0.01
bus43,bus23,2023,dollar/MWh,0.01
bus23,bus57,2023,dollar/MWh,0.01
bus57,bus23,2023,dollar/MWh,0.01
bus233,bus236,2023,dollar/MWh,0.01
bus236,bus233,2023,dollar/MWh,0.01
bus233,bus261,2023,dollar/MWh,0.01
bus261,bus233,2023,dollar/MWh,0.01
bus234,bus235,2023,dollar/MWh,0.01
bus235,bus234,2023,dollar/MWh,0.01
bus234,bus236,2023,dollar/MWh,0.01
bus236,bus234,2023,dollar/MWh,0.01
bus234,bus243,2023,dollar/MWh,0.01
bus243,bus234,2023,dollar/MWh,0.01
bus236,bus213,2023,dollar/MWh,0.01
bus213,bus236,2023,dollar/MWh,0.01
bus236,bus255,2023,dollar/MWh,0.01
bus255,bus236,2023,dollar/MWh,0.01
bus238,bus230,2023,dollar/MWh,0.01
bus230,bus238,2023,dollar/MWh,0.01
bus238,bus237,2023,dollar/MWh,0.01
bus237,bus238,2023,dollar/MWh,0.01
bus238,bus242,2023,dollar/MWh,0.01
bus242,bus238,2023,dollar/MWh,0.01
bus238,bus243,2023,dollar/MWh,0.01
bus243,bus238,2023,dollar/MWh,0.01
bus238,bus344,2023,dollar/MWh,0.01
bus344,bus238,2023,dollar/MWh,0.01
bus239,bus238,2023,dollar/MWh,0.01
bus238,bus239,2023,dollar/MWh,0.01
bus239,bus263,2023,dollar/MWh,0.01
bus263,bus239,2023,dollar/MWh,0.01
bus24,bus17,2023,dollar/MWh,0.01
bus17,bus24,2023,dollar/MWh,0.01
bus24,bus27,2023,dollar/MWh,0.01
bus27,bus24,2023,dollar/MWh,0.01
bus240,bus344,2023,dollar/MWh,0.01
bus344,bus240,2023,dollar/MWh,0.01
bus240,bus345,2023,dollar/MWh,0.01
bus345,bus240,2023,dollar/MWh,0.01
bus241,bus240,2023,dollar/MWh,0.01
bus240,bus241,2023,dollar/MWh,0.01
bus242,bus241,2023,dollar/MWh,0.01
bus241,bus242,2023,dollar/MWh,0.01
bus242,bus243,2023,dollar/MWh,0.01
bus243,bus242,2023,dollar/MWh,0.01
bus243,bus233,2023,dollar/MWh,0.01
bus233,bus243,2023,dollar/MWh,0.01
bus243,bus241,2023,dollar/MWh,0.01
bus241,bus243,2023,dollar/MWh,0.01
bus244,bus245,2023,dollar/MWh,0.01
bus245,bus244,2023,dollar/MWh,0.01
bus245,bus236,2023,dollar/MWh,0.01
bus236,bus245,2023,dollar/MWh,0.01
bus245,bus246,2023,dollar/MWh,0.01
bus246,bus245,2023,dollar/MWh,0.01
bus245,bus248,2023,dollar/MWh,0.01
bus248,bus245,2023,dollar/MWh,0.01
bus246,bus249,2023,dollar/MWh,0.01
bus249,bus246,2023,dollar/MWh,0.01
bus246,bus250,2023,dollar/MWh,0.01
bus250,bus246,2023,dollar/MWh,0.01
bus247,bus248,2023,dollar/MWh,0.01
bus248,bus247,2023,dollar/MWh,0.01
bus247,bus310,2023,dollar/MWh,0.01
bus310,bus247,2023,dollar/MWh,0.01
bus248,bus250,2023,dollar/MWh,0.01
bus250,bus248,2023,dollar/MWh,0.01
bus249,bus248,2023,dollar/MWh,0.01
bus248,bus249,2023,dollar/MWh,0.01
bus25,bus26,2023,dollar/MWh,0.01
bus26,bus25,2023,dollar/MWh,0.01
bus250,bus247,2023,dollar/MWh,0.01
bus247,bus250,2023,dollar/MWh,0.01
bus250,bus253,2023,dollar/MWh,0.01
bus253,bus250,2023,dollar/MWh,0.01
bus251,bus252,2023,dollar/MWh,0.01
bus252,bus251,2023,dollar/MWh,0.01
bus252,bus250,2023,dollar/MWh,0.01
bus250,bus252,2023,dollar/MWh,0.01
bus253,bus257,2023,dollar/MWh,0.01
bus257,bus253,2023,dollar/MWh,0.01
bus253,bus259,2023,dollar/MWh,0.01
bus259,bus253,2023,dollar/MWh,0.01
bus254,bus245,2023,dollar/MWh,0.01
bus245,bus254,2023,dollar/MWh,0.01
bus255,bus245,2023,dollar/MWh,0.01
bus245,bus255,2023,dollar/MWh,0.01
bus256,bus258,2023,dollar/MWh,0.01
bus258,bus256,2023,dollar/MWh,0.01
bus257,bus262,2023,dollar/MWh,0.01
bus262,bus257,2023,dollar/MWh,0.01
bus259,bus258,2023,dollar/MWh,0.01
bus258,bus259,2023,dollar/MWh,0.01
bus26,bus24,2023,dollar/MWh,0.01
bus24,bus26,2023,dollar/MWh,0.01
bus260,bus262,2023,dollar/MWh,0.01
bus262,bus260,2023,dollar/MWh,0.01
bus261,bus262,2023,dollar/MWh,0.01
bus262,bus261,2023,dollar/MWh,0.01
bus261,bus268,2023,dollar/MWh,0.01
bus268,bus261,2023,dollar/MWh,0.01
bus262,bus258,2023,dollar/MWh,0.01
bus258,bus262,2023,dollar/MWh,0.01
bus262,bus263,2023,dollar/MWh,0.01
bus263,bus262,2023,dollar/MWh,0.01
bus264,bus266,2023,dollar/MWh,0.01
bus266,bus264,2023,dollar/MWh,0.01
bus264,bus267,2023,dollar/MWh,0.01
bus267,bus264,2023,dollar/MWh,0.01
bus265,bus264,2023,dollar/MWh,0.01
bus264,bus265,2023,dollar/MWh,0.01
bus265,bus266,2023,dollar/MWh,0.01
bus266,bus265,2023,dollar/MWh,0.01
bus266,bus231,2023,dollar/MWh,0.01
bus231,bus266,2023,dollar/MWh,0.01
bus266,bus232,2023,dollar/MWh,0.01
bus232,bus266,2023,dollar/MWh,0.01
bus266,bus235,2023,dollar/MWh,0.01
bus235,bus266,2023,dollar/MWh,0.01
bus267,bus226,2023,dollar/MWh,0.01
bus226,bus267,2023,dollar/MWh,0.01
bus267,bus262,2023,dollar/MWh,0.01
bus262,bus267,2023,dollar/MWh,0.01
bus268,bus266,2023,dollar/MWh,0.01
bus266,bus268,2023,dollar/MWh,0.01
bus268,bus269,2023,dollar/MWh,0.01
bus269,bus268,2023,dollar/MWh,0.01
bus268,bus271,2023,dollar/MWh,0.01
bus271,bus268,2023,dollar/MWh,0.01
bus269,bus258,2023,dollar/MWh,0.01
bus258,bus269,2023,dollar/MWh,0.01
bus269,bus260,2023,dollar/MWh,0.01
bus260,bus269,2023,dollar/MWh,0.01
bus269,bus270,2023,dollar/MWh,0.01
bus270,bus269,2023,dollar/MWh,0.01
bus27,bus30,2023,dollar/MWh,0.01
bus30,bus27,2023,dollar/MWh,0.01
bus272,bus102,2023,dollar/MWh,0.01
bus102,bus272,2023,dollar/MWh,0.01
bus272,bus246,2023,dollar/MWh,0.01
bus246,bus272,2023,dollar/MWh,0.01
bus272,bus273,2023,dollar/MWh,0.01
bus273,bus272,2023,dollar/MWh,0.01
bus273,bus252,2023,dollar/MWh,0.01
bus252,bus273,2023,dollar/MWh,0.01
bus273,bus269,2023,dollar/MWh,0.01
bus269,bus273,2023,dollar/MWh,0.01
bus275,bus289,2023,dollar/MWh,0.01
bus289,bus275,2023,dollar/MWh,0.01
bus276,bus274,2023,dollar/MWh,0.01
bus274,bus276,2023,dollar/MWh,0.01
bus276,bus275,2023,dollar/MWh,0.01
bus275,bus276,2023,dollar/MWh,0.01
bus277,bus276,2023,dollar/MWh,0.01
bus276,bus277,2023,dollar/MWh,0.01
bus277,bus293,2023,dollar/MWh,0.01
bus293,bus277,2023,dollar/MWh,0.01
bus279,bus277,2023,dollar/MWh,0.01
bus277,bus279,2023,dollar/MWh,0.01
bus279,bus278,2023,dollar/MWh,0.01
bus278,bus279,2023,dollar/MWh,0.01
bus28,bus45,2023,dollar/MWh,0.01
bus45,bus28,2023,dollar/MWh,0.01
bus281,bus278,2023,dollar/MWh,0.01
bus278,bus281,2023,dollar/MWh,0.01
bus281,bus282,2023,dollar/MWh,0.01
bus282,bus281,2023,dollar/MWh,0.01
bus283,bus103,2023,dollar/MWh,0.01
bus103,bus283,2023,dollar/MWh,0.01
bus283,bus284,2023,dollar/MWh,0.01
bus284,bus283,2023,dollar/MWh,0.01
bus284,bus285,2023,dollar/MWh,0.01
bus285,bus284,2023,dollar/MWh,0.01
bus285,bus288,2023,dollar/MWh,0.01
bus288,bus285,2023,dollar/MWh,0.01
bus286,bus287,2023,dollar/MWh,0.01
bus287,bus286,2023,dollar/MWh,0.01
bus286,bus288,2023,dollar/MWh,0.01
bus288,bus286,2023,dollar/MWh,0.01
bus288,bus105,2023,dollar/MWh,0.01
bus105,bus288,2023,dollar/MWh,0.01
bus289,bus288,2023,dollar/MWh,0.01
bus288,bus289,2023,dollar/MWh,0.01
bus289,bus290,2023,dollar/MWh,0.01
bus290,bus289,2023,dollar/MWh,0.01
bus291,bus303,2023,dollar/MWh,0.01
bus303,bus291,2023,dollar/MWh,0.01
bus292,bus273,2023,dollar/MWh,0.01
bus273,bus292,2023,dollar/MWh,0.01
bus292,bus293,2023,dollar/MWh,0.01
bus293,bus292,2023,dollar/MWh,0.01
bus292,bus294,2023,dollar/MWh,0.01
bus294,bus292,2023,dollar/MWh,0.01
bus293,bus291,2023,dollar/MWh,0.01
bus291,bus293,2023,dollar/MWh,0.01
bus295,bus294,2023,dollar/MWh,0.01
bus294,bus295,2023,dollar/MWh,0.01
bus295,bus299,2023,dollar/MWh,0.01
bus299,bus295,2023,dollar/MWh,0.01
bus296,bus251,2023,dollar/MWh,0.01
bus251,bus296,2023,dollar/MWh,0.01
bus296,bus273,2023,dollar/MWh,0.01
bus273,bus296,2023,dollar/MWh,0.01
bus296,bus297,2023,dollar/MWh,0.01
bus297,bus296,2023,dollar/MWh,0.01
bus296,bus309,2023,dollar/MWh,0.01
bus309,bus296,2023,dollar/MWh,0.01
bus297,bus298,2023,dollar/MWh,0.01
bus298,bus297,2023,dollar/MWh,0.01
bus298,bus295,2023,dollar/MWh,0.01
bus295,bus298,2023,dollar/MWh,0.01
bus299,bus300,2023,dollar/MWh,0.01
bus300,bus299,2023,dollar/MWh,0.01
bus30,bus31,2023,dollar/MWh,0.01
bus31,bus30,2023,dollar/MWh,0.01
bus30,bus57,2023,dollar/MWh,0.01
bus57,bus30,2023,dollar/MWh,0.01
bus300,bus301,2023,dollar/MWh,0.01
bus301,bus300,2023,dollar/MWh,0.01
bus301,bus308,2023,dollar/MWh,0.01
bus308,bus301,2023,dollar/MWh,0.01
bus303,bus302,2023,dollar/MWh,0.01
bus302,bus303,2023,dollar/MWh,0.01
bus304,bus302,2023,dollar/MWh,0.01
bus302,bus304,2023,dollar/MWh,0.01
bus304,bus305,2023,dollar/MWh,0.01
