zone,tech,age,unit,value
Cambodia,Coal,58,MW,0.0
Cambodia,Coal,59,MW,0.0
Cambodia,Coal,60,MW,0.0
Cambodia,Coal,61,MW,0.0
Cambodia,Coal,62,MW,0.0
Cambodia,Coal,63,MW,0.0
Cambodia,Coal,64,MW,0.0
Cambodia,Coal,65,MW,0.0
Cambodia,Coal,66,MW,0.0
Cambodia,Coal,67,MW,0.0
Cambodia,Coal,68,MW,0.0
Cambodia,Coal,69,MW,0.0
Cambodia,Coal,70,MW,0.0
Cambodia,Coal,71,MW,0.0
Cambodia,Coal,72,MW,0.0
Cambodia,Coal,73,MW,0.0
Cambodia,Coal,74,MW,0.0
Cambodia,Coal,75,MW,0.0
Cambodia,Coal,76,MW,0.0
Cambodia,Coal,77,MW,0.0
Cambodia,Coal,78,MW,0.0
Cambodia,Coal,79,MW,0.0
Cambodia,Coal,80,MW,0.0
Cambodia,Coal,81,MW,0.0
Cambodia,Coal,82,MW,0.0
Cambodia,Coal,83,MW,0.0
Cambodia,Coal,84,MW,0.0
Cambodia,Coal,85,MW,0.0
Cambodia,Coal,86,MW,0.0
Cambodia,Coal,87,MW,0.0
Cambodia,Coal,88,MW,0.0
Cambodia,Coal,89,MW,0.0
Cambodia,Coal,90,MW,0.0
Cambodia,Coal,91,MW,0.0
Cambodia,Coal,92,MW,0.0
Cambodia,Coal,93,MW,0.0
Cambodia,Coal,94,MW,0.0
Cambodia,Coal,95,MW,0.0
Cambodia,Coal,96,MW,0.0
Cambodia,Coal,97,MW,0.0
Cambodia,Coal,98,MW,0.0
Cambodia,Coal,99,MW,0.0
Cambodia,Oil,0,MW,644.0
Cambodia,Oil,1,MW,0.0
Cambodia,Oil,2,MW,0.0
Cambodia,Oil,3,MW,0.0
Cambodia,Oil,4,MW,0.0
Cambodia,Oil,5,MW,0.0
Cambodia,Oil,6,MW,0.0
Cambodia,Oil,7,MW,0.0
Cambodia,Oil,8,MW,0.0
Cambodia,Oil,9,MW,0.0
Cambodia,Oil,10,MW,0.0
Cambodia,Oil,11,MW,0.0
Cambodia,Oil,12,MW,0.0
Cambodia,Oil,13,MW,0.0
Cambodia,Oil,14,MW,0.0
Cambodia,Oil,15,MW,0.0
Cambodia,Oil,16,MW,0.0
Cambodia,Oil,17,MW,0.0
Cambodia,Oil,18,MW,0.0
Cambodia,Oil,19,MW,0.0
Cambodia,Oil,20,MW,0.0
Cambodia,Oil,21,MW,0.0
Cambodia,Oil,22,MW,0.0
Cambodia,Oil,23,MW,0.0
Cambodia,Oil,24,MW,0.0
Cambodia,Oil,25,MW,0.0
Cambodia,Oil,26,MW,0.0
Cambodia,Oil,27,MW,0.0
Cambodia,Oil,28,MW,0.0
Cambodia,Oil,29,MW,0.0
Cambodia,Oil,30,MW,0.0
Cambodia,Oil,31,MW,0.0
Cambodia,Oil,32,MW,0.0
Cambodia,Oil,33,MW,0.0
Cambodia,Oil,34,MW,0.0
Cambodia,Oil,35,MW,0.0
Cambodia,Oil,36,MW,0.0
Cambodia,Oil,37,MW,0.0
Cambodia,Oil,38,MW,0.0
Cambodia,Oil,39,MW,0.0
Cambodia,Oil,40,MW,0.0
Cambodia,Oil,41,MW,0.0
Cambodia,Oil,42,MW,0.0
Cambodia,Oil,43,MW,0.0
Cambodia,Oil,44,MW,0.0
Cambodia,Oil,45,MW,0.0
Cambodia,Oil,46,MW,0.0
Cambodia,Oil,47,MW,0.0
Cambodia,Oil,48,MW,0.0
Cambodia,Oil,49,MW,0.0
Cambodia,Oil,50,MW,0.0
Cambodia,Oil,51,MW,0.0
Cambodia,Oil,52,MW,0.0
Cambodia,Oil,53,MW,0.0
Cambodia,Oil,54,MW,0.0
Cambodia,Oil,55,MW,0.0
Cambodia,Oil,56,MW,0.0
Cambodia,Oil,57,MW,0.0
Cambodia,Oil,58,MW,0.0
Cambodia,Oil,59,MW,0.0
Cambodia,Oil,60,MW,0.0
Cambodia,Oil,61,MW,0.0
Cambodia,Oil,62,MW,0.0
Cambodia,Oil,63,MW,0.0
Cambodia,Oil,64,MW,0.0
Cambodia,Oil,65,MW,0.0
Cambodia,Oil,66,MW,0.0
Cambodia,Oil,67,MW,0.0
Cambodia,Oil,68,MW,0.0
Cambodia,Oil,69,MW,0.0
Cambodia,Oil,70,MW,0.0
Cambodia,Oil,71,MW,0.0
Cambodia,Oil,72,MW,0.0
Cambodia,Oil,73,MW,0.0
Cambodia,Oil,74,MW,0.0
Cambodia,Oil,75,MW,0.0
Cambodia,Oil,76,MW,0.0
Cambodia,Oil,77,MW,0.0
Cambodia,Oil,78,MW,0.0
Cambodia,Oil,79,MW,0.0
Cambodia,Oil,80,MW,0.0
Cambodia,Oil,81,MW,0.0
Cambodia,Oil,82,MW,0.0
Cambodia,Oil,83,MW,0.0
Cambodia,Oil,84,MW,0.0
Cambodia,Oil,85,MW,0.0
Cambodia,Oil,86,MW,0.0
Cambodia,Oil,87,MW,0.0
Cambodia,Oil,88,MW,0.0
Cambodia,Oil,89,MW,0.0
Cambodia,Oil,90,MW,0.0
Cambodia,Oil,91,MW,0.0
Cambodia,Oil,92,MW,0.0
Cambodia,Oil,93,MW,0.0
Cambodia,Oil,94,MW,0.0
Cambodia,Oil,95,MW,0.0
Cambodia,Oil,96,MW,0.0
Cambodia,Oil,97,MW,0.0
Cambodia,Oil,98,MW,0.0
Cambodia,Oil,99,MW,0.0
Cambodia,Gas,0,MW,0.0
Cambodia,Gas,1,MW,0.0
Cambodia,Gas,2,MW,0.0
Cambodia,Gas,3,MW,0.0
Cambodia,Gas,4,MW,0.0
Cambodia,Gas,5,MW,0.0
Cambodia,Gas,6,MW,0.0
Cambodia,Gas,7,MW,0.0
Cambodia,Gas,8,MW,0.0
Cambodia,Gas,9,MW,0.0
Cambodia,Gas,10,MW,0.0
Cambodia,Gas,11,MW,0.0
Cambodia,Gas,12,MW,0.0
Cambodia,Gas,13,MW,0.0
Cambodia,Gas,14,MW,0.0
Cambodia,Gas,15,MW,0.0
Cambodia,Gas,16,MW,0.0
Cambodia,Gas,17,MW,0.0
Cambodia,Gas,18,MW,0.0
Cambodia,Gas,19,MW,0.0
Cambodia,Gas,20,MW,0.0
Cambodia,Gas,21,MW,0.0
Cambodia,Gas,22,MW,0.0
Cambodia,Gas,23,MW,0.0
Cambodia,Gas,24,MW,0.0
Cambodia,Gas,25,MW,0.0
Cambodia,Gas,26,MW,0.0
Cambodia,Gas,27,MW,0.0
Cambodia,Gas,28,MW,0.0
Cambodia,Gas,29,MW,0.0
Cambodia,Gas,30,MW,0.0
Cambodia,Gas,31,MW,0.0
Cambodia,Gas,32,MW,0.0
Cambodia,Gas,33,MW,0.0
Cambodia,Gas,34,MW,0.0
Cambodia,Gas,35,MW,0.0
Cambodia,Gas,36,MW,0.0
Cambodia,Gas,37,MW,0.0
Cambodia,Gas,38,MW,0.0
Cambodia,Gas,39,MW,0.0
Cambodia,Gas,40,MW,0.0
Cambodia,Gas,41,MW,0.0
Cambodia,Gas,42,MW,0.0
Cambodia,Gas,43,MW,0.0
Cambodia,Gas,44,MW,0.0
Cambodia,Gas,45,MW,0.0
Cambodia,Gas,46,MW,0.0
Cambodia,Gas,47,MW,0.0
Cambodia,Gas,48,MW,0.0
Cambodia,Gas,49,MW,0.0
Cambodia,Gas,50,MW,0.0
Cambodia,Gas,51,MW,0.0
Cambodia,Gas,52,MW,0.0
Cambodia,Gas,53,MW,0.0
Cambodia,Gas,54,MW,0.0
Cambodia,Gas,55,MW,0.0
Cambodia,Gas,56,MW,0.0
Cambodia,Gas,57,MW,0.0
Cambodia,Gas,58,MW,0.0
Cambodia,Gas,59,MW,0.0
Cambodia,Gas,60,MW,0.0
Cambodia,Gas,61,MW,0.0
Cambodia,Gas,62,MW,0.0
Cambodia,Gas,63,MW,0.0
Cambodia,Gas,64,MW,0.0
Cambodia,Gas,65,MW,0.0
Cambodia,Gas,66,MW,0.0
Cambodia,Gas,67,MW,0.0
Cambodia,Gas,68,MW,0.0
Cambodia,Gas,69,MW,0.0
Cambodia,Gas,70,MW,0.0
Cambodia,Gas,71,MW,0.0
Cambodia,Gas,72,MW,0.0
Cambodia,Gas,73,MW,0.0
Cambodia,Gas,74,MW,0.0
Cambodia,Gas,75,MW,0.0
Cambodia,Gas,76,MW,0.0
Cambodia,Gas,77,MW,0.0
Cambodia,Gas,78,MW,0.0
Cambodia,Gas,79,MW,0.0
Cambodia,Gas,80,MW,0.0
Cambodia,Gas,81,MW,0.0
Cambodia,Gas,82,MW,0.0
Cambodia,Gas,83,MW,0.0
Cambodia,Gas,84,MW,0.0
Cambodia,Gas,85,MW,0.0
Cambodia,Gas,86,MW,0.0
Cambodia,Gas,87,MW,0.0
Cambodia,Gas,88,MW,0.0
Cambodia,Gas,89,MW,0.0
Cambodia,Gas,90,MW,0.0
Cambodia,Gas,91,MW,0.0
Cambodia,Gas,92,MW,0.0
Cambodia,Gas,93,MW,0.0
Cambodia,Gas,94,MW,0.0
Cambodia,Gas,95,MW,0.0
Cambodia,Gas,96,MW,0.0
Cambodia,Gas,97,MW,0.0
Cambodia,Gas,98,MW,0.0
Cambodia,Gas,99,MW,0.0
Cambodia,Hydro,0,MW,400.0
Cambodia,Hydro,1,MW,0.0
Cambodia,Hydro,2,MW,0.0
Cambodia,Hydro,3,MW,0.0
Cambodia,Hydro,4,MW,0.0
Cambodia,Hydro,5,MW,0.0
Cambodia,Hydro,6,MW,0.0
Cambodia,Hydro,7,MW,0.0
Cambodia,Hydro,8,MW,0.0
Cambodia,Hydro,9,MW,0.0
Cambodia,Hydro,10,MW,0.0
Cambodia,Hydro,11,MW,0.0
Cambodia,Hydro,12,MW,0.0
Cambodia,Hydro,13,MW,0.0
Cambodia,Hydro,14,MW,0.0
Cambodia,Hydro,15,MW,0.0
Cambodia,Hydro,16,MW,0.0
Cambodia,Hydro,17,MW,0.0
Cambodia,Hydro,18,MW,0.0
Cambodia,Hydro,19,MW,0.0
Cambodia,Hydro,20,MW,0.0
Cambodia,Hydro,21,MW,0.0
Cambodia,Hydro,22,MW,0.0
Cambodia,Hydro,23,MW,0.0
Cambodia,Hydro,24,MW,0.0
Cambodia,Hydro,25,MW,0.0
Cambodia,Hydro,26,MW,0.0
Cambodia,Hydro,27,MW,0.0
Cambodia,Hydro,28,MW,0.0
Cambodia,Hydro,29,MW,0.0
Cambodia,Hydro,30,MW,0.0
Cambodia,Hydro,31,MW,0.0
Cambodia,Hydro,32,MW,0.0
Cambodia,Hydro,33,MW,0.0
Cambodia,Hydro,34,MW,0.0
Cambodia,Hydro,35,MW,0.0
Cambodia,Hydro,36,MW,0.0
Cambodia,Hydro,37,MW,0.0
Cambodia,Hydro,38,MW,0.0
Cambodia,Hydro,39,MW,0.0
Cambodia,Hydro,40,MW,0.0
Cambodia,Hydro,41,MW,0.0
Cambodia,Hydro,42,MW,0.0
Cambodia,Hydro,43,MW,0.0
Cambodia,Hydro,44,MW,0.0
Cambodia,Hydro,45,MW,0.0
Cambodia,Hydro,46,MW,0.0
Cambodia,Hydro,47,MW,0.0
Cambodia,Hydro,48,MW,0.0
Cambodia,Hydro,49,MW,0.0
Cambodia,Hydro,50,MW,0.0
Cambodia,Hydro,51,MW,0.0
Cambodia,Hydro,52,MW,0.0
Cambodia,Hydro,53,MW,0.0
Cambodia,Hydro,54,MW,0.0
Cambodia,Hydro,55,MW,0.0
Cambodia,Hydro,56,MW,0.0
Cambodia,Hydro,57,MW,0.0
Cambodia,Hydro,58,MW,0.0
Cambodia,Hydro,59,MW,0.0
Cambodia,Hydro,60,MW,0.0
Cambodia,Hydro,61,MW,0.0
Cambodia,Hydro,62,MW,0.0
Cambodia,Hydro,63,MW,0.0
Cambodia,Hydro,64,MW,0.0
Cambodia,Hydro,65,MW,0.0
Cambodia,Hydro,66,MW,0.0
Cambodia,Hydro,67,MW,0.0
Cambodia,Hydro,68,MW,0.0
Cambodia,Hydro,69,MW,0.0
Cambodia,Hydro,70,MW,0.0
Cambodia,Hydro,71,MW,0.0
Cambodia,Hydro,72,MW,0.0
Cambodia,Hydro,73,MW,0.0
Cambodia,Hydro,74,MW,0.0
Cambodia,Hydro,75,MW,0.0
Cambodia,Hydro,76,MW,0.0
Cambodia,Hydro,77,MW,0.0
Cambodia,Hydro,78,MW,0.0
Cambodia,Hydro,79,MW,0.0
Cambodia,Hydro,80,MW,0.0
Cambodia,Hydro,81,MW,0.0
Cambodia,Hydro,82,MW,0.0
Cambodia,Hydro,83,MW,0.0
Cambodia,Hydro,84,MW,0.0
Cambodia,Hydro,85,MW,0.0
Cambodia,Hydro,86,MW,0.0
Cambodia,Hydro,87,MW,0.0
Cambodia,Hydro,88,MW,0.0
Cambodia,Hydro,89,MW,0.0
Cambodia,Hydro,90,MW,0.0
Cambodia,Hydro,91,MW,0.0
Cambodia,Hydro,92,MW,0.0
Cambodia,Hydro,93,MW,0.0
Cambodia,Hydro,94,MW,0.0
Cambodia,Hydro,95,MW,0.0
Cambodia,Hydro,96,MW,0.0
Cambodia,Hydro,97,MW,0.0
Cambodia,Hydro,98,MW,0.0
Cambodia,Hydro,99,MW,0.0
Cambodia,Solar,0,MW,237.0
Cambodia,Solar,1,MW,0.0
Cambodia,Solar,2,MW,0.0
Cambodia,Solar,3,MW,0.0
Cambodia,Solar,4,MW,0.0
Cambodia,Solar,5,MW,0.0
Cambodia,Solar,6,MW,0.0
Cambodia,Solar,7,MW,0.0
Cambodia,Solar,8,MW,0.0
Cambodia,Solar,9,MW,0.0
Cambodia,Solar,10,MW,0.0
Cambodia,Solar,11,MW,0.0
Cambodia,Solar,12,MW,0.0
Cambodia,Solar,13,MW,0.0
Cambodia,Solar,14,MW,0.0
Cambodia,Solar,15,MW,0.0
Cambodia,Solar,16,MW,0.0
Cambodia,Solar,17,MW,0.0
Cambodia,Solar,18,MW,0.0
Cambodia,Solar,19,MW,0.0
Cambodia,Solar,20,MW,0.0
Cambodia,Solar,21,MW,0.0
Cambodia,Solar,22,MW,0.0
Cambodia,Solar,23,MW,0.0
Cambodia,Solar,24,MW,0.0
Cambodia,Solar,25,MW,0.0
Cambodia,Solar,26,MW,0.0
Cambodia,Solar,27,MW,0.0
Cambodia,Solar,28,MW,0.0
Cambodia,Solar,29,MW,0.0
Cambodia,Solar,30,MW,0.0
Cambodia,Solar,31,MW,0.0
Cambodia,Solar,32,MW,0.0
Cambodia,Solar,33,MW,0.0
Cambodia,Solar,34,MW,0.0
Cambodia,Solar,35,MW,0.0
Cambodia,Solar,36,MW,0.0
Cambodia,Solar,37,MW,0.0
Cambodia,Solar,38,MW,0.0
Cambodia,Solar,39,MW,0.0
Cambodia,Solar,40,MW,0.0
Cambodia,Solar,41,MW,0.0
Cambodia,Solar,42,MW,0.0
Cambodia,Solar,43,MW,0.0
Cambodia,Solar,44,MW,0.0
Cambodia,Solar,45,MW,0.0
Cambodia,Solar,46,MW,0.0
Cambodia,Solar,47,MW,0.0
Cambodia,Solar,48,MW,0.0
Cambodia,Solar,49,MW,0.0
Cambodia,Solar,50,MW,0.0
Cambodia,Solar,51,MW,0.0
Cambodia,Solar,52,MW,0.0
Cambodia,Solar,53,MW,0.0
Cambodia,Solar,54,MW,0.0
Cambodia,Solar,55,MW,0.0
Cambodia,Solar,56,MW,0.0
Cambodia,Solar,57,MW,0.0
Cambodia,Solar,58,MW,0.0
Cambodia,Solar,59,MW,0.0
Cambodia,Solar,60,MW,0.0
Cambodia,Solar,61,MW,0.0
Cambodia,Solar,62,MW,0.0
Cambodia,Solar,63,MW,0.0
Cambodia,Solar,64,MW,0.0
Cambodia,Solar,65,MW,0.0
Cambodia,Solar,66,MW,0.0
Cambodia,Solar,67,MW,0.0
Cambodia,Solar,68,MW,0.0
Cambodia,Solar,69,MW,0.0
Cambodia,Solar,70,MW,0.0
Cambodia,Solar,71,MW,0.0
Cambodia,Solar,72,MW,0.0
Cambodia,Solar,73,MW,0.0
Cambodia,Solar,74,MW,0.0
Cambodia,Solar,75,MW,0.0
Cambodia,Solar,76,MW,0.0
Cambodia,Solar,77,MW,0.0
Cambodia,Solar,78,MW,0.0
Cambodia,Solar,79,MW,0.0
Cambodia,Solar,80,MW,0.0
Cambodia,Solar,81,MW,0.0
Cambodia,Solar,82,MW,0.0
Cambodia,Solar,83,MW,0.0
Cambodia,Solar,84,MW,0.0
Cambodia,Solar,85,MW,0.0
Cambodia,Solar,86,MW,0.0
Cambodia,Solar,87,MW,0.0
Cambodia,Solar,88,MW,0.0
Cambodia,Solar,89,MW,0.0
Cambodia,Solar,90,MW,0.0
Cambodia,Solar,91,MW,0.0
Cambodia,Solar,92,MW,0.0
Cambodia,Solar,93,MW,0.0
Cambodia,Solar,94,MW,0.0
Cambodia,Solar,95,MW,0.0
Cambodia,Solar,96,MW,0.0
Cambodia,Solar,97,MW,0.0
Cambodia,Solar,98,MW,0.0
Cambodia,Solar,99,MW,0.0
Cambodia,Wind,0,MW,0.0
Cambodia,Wind,1,MW,0.0
Cambodia,Wind,2,MW,0.0
Cambodia,Wind,3,MW,0.0
Cambodia,Wind,4,MW,0.0
Cambodia,Wind,5,MW,0.0
Cambodia,Wind,6,MW,0.0
Cambodia,Wind,7,MW,0.0
Cambodia,Wind,8,MW,0.0
Cambodia,Wind,9,MW,0.0
Cambodia,Wind,10,MW,0.0
Cambodia,Wind,11,MW,0.0
Cambodia,Wind,12,MW,0.0
Cambodia,Wind,13,MW,0.0
Cambodia,Wind,14,MW,0.0
Cambodia,Wind,15,MW,0.0
Cambodia,Wind,16,MW,0.0
Cambodia,Wind,17,MW,0.0
Cambodia,Wind,18,MW,0.0
Cambodia,Wind,19,MW,0.0
Cambodia,Wind,20,MW,0.0
Cambodia,Wind,21,MW,0.0
Cambodia,Wind,22,MW,0.0
Cambodia,Wind,23,MW,0.0
Cambodia,Wind,24,MW,0.0
Cambodia,Wind,25,MW,0.0
Cambodia,Wind,26,MW,0.0
Cambodia,Wind,27,MW,0.0
Cambodia,Wind,28,MW,0.0
Cambodia,Wind,29,MW,0.0
Cambodia,Wind,30,MW,0.0
Cambodia,Wind,31,MW,0.0
Cambodia,Wind,32,MW,0.0
Cambodia,Wind,33,MW,0.0
Cambodia,Wind,34,MW,0.0
Cambodia,Wind,35,MW,0.0
Cambodia,Wind,36,MW,0.0
Cambodia,Wind,37,MW,0.0
Cambodia,Wind,38,MW,0.0
Cambodia,Wind,39,MW,0.0
Cambodia,Wind,40,MW,0.0
Cambodia,Wind,41,MW,0.0
Cambodia,Wind,42,MW,0.0
Cambodia,Wind,43,MW,0.0
Cambodia,Wind,44,MW,0.0
Cambodia,Wind,45,MW,0.0
Cambodia,Wind,46,MW,0.0
Cambodia,Wind,47,MW,0.0
Cambodia,Wind,48,MW,0.0
Cambodia,Wind,49,MW,0.0
Cambodia,Wind,50,MW,0.0
Cambodia,Wind,51,MW,0.0
Cambodia,Wind,52,MW,0.0
Cambodia,Wind,53,MW,0.0
Cambodia,Wind,54,MW,0.0
Cambodia,Wind,55,MW,0.0
Cambodia,Wind,56,MW,0.0
Cambodia,Wind,57,MW,0.0
Cambodia,Wind,58,MW,0.0
Cambodia,Wind,59,MW,0.0
Cambodia,Wind,60,MW,0.0
Cambodia,Wind,61,MW,0.0
Cambodia,Wind,62,MW,0.0
Cambodia,Wind,63,MW,0.0
Cambodia,Wind,64,MW,0.0
Cambodia,Wind,65,MW,0.0
Cambodia,Wind,66,MW,0.0
Cambodia,Wind,67,MW,0.0
Cambodia,Wind,68,MW,0.0
Cambodia,Wind,69,MW,0.0
Cambodia,Wind,70,MW,0.0
Cambodia,Wind,71,MW,0.0
Cambodia,Wind,72,MW,0.0
Cambodia,Wind,73,MW,0.0
Cambodia,Wind,74,MW,0.0
Cambodia,Wind,75,MW,0.0
Cambodia,Wind,76,MW,0.0
Cambodia,Wind,77,MW,0.0
Cambodia,Wind,78,MW,0.0
Cambodia,Wind,79,MW,0.0
Cambodia,Wind,80,MW,0.0
Cambodia,Wind,81,MW,0.0
Cambodia,Wind,82,MW,0.0
Cambodia,Wind,83,MW,0.0
Cambodia,Wind,84,MW,0.0
Cambodia,Wind,85,MW,0.0
Cambodia,Wind,86,MW,0.0
Cambodia,Wind,87,MW,0.0
Cambodia,Wind,88,MW,0.0
Cambodia,Wind,89,MW,0.0
Cambodia,Wind,90,MW,0.0
Cambodia,Wind,91,MW,0.0
Cambodia,Wind,92,MW,0.0
Cambodia,Wind,93,MW,0.0
Cambodia,Wind,94,MW,0.0
Cambodia,Wind,95,MW,0.0
Cambodia,Wind,96,MW,0.0
Cambodia,Wind,97,MW,0.0
Cambodia,Wind,98,MW,0.0
Cambodia,Wind,99,MW,0.0
Cambodia,Bioenergy,0,MW,31.0
Cambodia,Bioenergy,1,MW,0.0
Cambodia,Bioenergy,2,MW,0.0
Cambodia,Bioenergy,3,MW,0.0
Cambodia,Bioenergy,4,MW,0.0
Cambodia,Bioenergy,5,MW,0.0
Cambodia,Bioenergy,6,MW,0.0
Cambodia,Bioenergy,7,MW,0.0
Cambodia,Bioenergy,8,MW,0.0
Cambodia,Bioenergy,9,MW,0.0
Cambodia,Bioenergy,10,MW,0.0
Cambodia,Bioenergy,11,MW,0.0
Cambodia,Bioenergy,12,MW,0.0
Cambodia,Bioenergy,13,MW,0.0
Cambodia,Bioenergy,14,MW,0.0
Cambodia,Bioenergy,15,MW,0.0
Cambodia,Bioenergy,16,MW,0.0
Cambodia,Bioenergy,17,MW,0.0
Cambodia,Bioenergy,18,MW,0.0
Cambodia,Bioenergy,19,MW,0.0
Cambodia,Bioenergy,20,MW,0.0
Cambodia,Bioenergy,21,MW,0.0
Cambodia,Bioenergy,22,MW,0.0
Cambodia,Bioenergy,23,MW,0.0
Cambodia,Bioenergy,24,MW,0.0
Cambodia,Bioenergy,25,MW,0.0
Cambodia,Bioenergy,26,MW,0.0
Cambodia,Bioenergy,27,MW,0.0
Cambodia,Bioenergy,28,MW,0.0
Cambodia,Bioenergy,29,MW,0.0
Cambodia,Bioenergy,30,MW,0.0
Cambodia,Bioenergy,31,MW,0.0
Cambodia,Bioenergy,32,MW,0.0
Cambodia,Bioenergy,33,MW,0.0
Cambodia,Bioenergy,34,MW,0.0
Cambodia,Bioenergy,35,MW,0.0
Cambodia,Bioenergy,36,MW,0.0
Cambodia,Bioenergy,37,MW,0.0
Cambodia,Bioenergy,38,MW,0.0
Cambodia,Bioenergy,39,MW,0.0
Cambodia,Bioenergy,40,MW,0.0
Cambodia,Bioenergy,41,MW,0.0
Cambodia,Bioenergy,42,MW,0.0
Cambodia,Bioenergy,43,MW,0.0
Cambodia,Bioenergy,44,MW,0.0
Cambodia,Bioenergy,45,MW,0.0
Cambodia,Bioenergy,46,MW,0.0
Cambodia,Bioenergy,47,MW,0.0
Cambodia,Bioenergy,48,MW,0.0
Cambodia,Bioenergy,49,MW,0.0
Cambodia,Bioenergy,50,MW,0.0
Cambodia,Bioenergy,51,MW,0.0
Cambodia,Bioenergy,52,MW,0.0
Cambodia,Bioenergy,53,MW,0.0
Cambodia,Bioenergy,54,MW,0.0
Cambodia,Bioenergy,55,MW,0.0
Cambodia,Bioenergy,56,MW,0.0
Cambodia,Bioenergy,57,MW,0.0
Cambodia,Bioenergy,58,MW,0.0
Cambodia,Bioenergy,59,MW,0.0
Cambodia,Bioenergy,60,MW,0.0
Cambodia,Bioenergy,61,MW,0.0
Cambodia,Bioenergy,62,MW,0.0
Cambodia,Bioenergy,63,MW,0.0
Cambodia,Bioenergy,64,MW,0.0
Cambodia,Bioenergy,65,MW,0.0
Cambodia,Bioenergy,66,MW,0.0
Cambodia,Bioenergy,67,MW,0.0
Cambodia,Bioenergy,68,MW,0.0
Cambodia,Bioenergy,69,MW,0.0
Cambodia,Bioenergy,70,MW,0.0
Cambodia,Bioenergy,71,MW,0.0
Cambodia,Bioenergy,72,MW,0.0
Cambodia,Bioenergy,73,MW,0.0
Cambodia,Bioenergy,74,MW,0.0
Cambodia,Bioenergy,75,MW,0.0
Cambodia,Bioenergy,76,MW,0.0
Cambodia,Bioenergy,77,MW,0.0
Cambodia,Bioenergy,78,MW,0.0
Cambodia,Bioenergy,79,MW,0.0
Cambodia,Bioenergy,80,MW,0.0
Cambodia,Bioenergy,81,MW,0.0
Cambodia,Bioenergy,82,MW,0.0
Cambodia,Bioenergy,83,MW,0.0
Cambodia,Bioenergy,84,MW,0.0
Cambodia,Bioenergy,85,MW,0.0
Cambodia,Bioenergy,86,MW,0.0
Cambodia,Bioenergy,87,MW,0.0
Cambodia,Bioenergy,88,MW,0.0
Cambodia,Bioenergy,89,MW,0.0
Cambodia,Bioenergy,90,MW,0.0
Cambodia,Bioenergy,91,MW,0.0
Cambodia,Bioenergy,92,MW,0.0
Cambodia,Bioenergy,93,MW,0.0
Cambodia,Bioenergy,94,MW,0.0
Cambodia,Bioenergy,95,MW,0.0
Cambodia,Bioenergy,96,MW,0.0
Cambodia,Bioenergy,97,MW,0.0
Cambodia,Bioenergy,98,MW,0.0
Cambodia,Bioenergy,99,MW,0.0
Cambodia,HPS,0,MW,0.0
Cambodia,HPS,1,MW,0.0
Cambodia,HPS,2,MW,0.0
Cambodia,HPS,3,MW,0.0
Cambodia,HPS,4,MW,0.0
Cambodia,HPS,5,MW,0.0
Cambodia,HPS,6,MW,0.0
Cambodia,HPS,7,MW,0.0
Cambodia,HPS,8,MW,0.0
Cambodia,HPS,9,MW,0.0
Cambodia,HPS,10,MW,0.0
Cambodia,HPS,11,MW,0.0
Cambodia,HPS,12,MW,0.0
Cambodia,HPS,13,MW,0.0
