tech,zone,unit,value
Huai_Kum,Thailand,fraction,0.07
Huai_Kum,Vietnam,fraction,0.07
Xe_Kong_5,Cambodia,fraction,0.07
Xe_Kong_5,Laos,fraction,0.07
Xe_Kong_5,Myanmar,fraction,0.07
Xe_Kong_5,Thailand,fraction,0.07
Xe_Kong_5,Vietnam,fraction,0.07
Xeset_1,Cambodia,fraction,0.07
Xeset_1,Laos,fraction,0.07
Xeset_1,Myanmar,fraction,0.07
Xeset_1,Thailand,fraction,0.07
Xeset_1,Vietnam,fraction,0.07
Xedon_2,Cambodia,fraction,0.07
Xedon_2,Laos,fraction,0.07
Xedon_2,Myanmar,fraction,0.07
Xedon_2,Thailand,fraction,0.07
Xedon_2,Vietnam,fraction,0.07
Xelabam,Cambodia,fraction,0.07
Xelabam,Laos,fraction,0.07
Xelabam,Myanmar,fraction,0.07
Xelabam,Thailand,fraction,0.07
Xelabam,Vietnam,fraction,0.07
Xekaman_3,Cambodia,fraction,0.07
Xekaman_3,Laos,fraction,0.07
Xekaman_3,Myanmar,fraction,0.07
Xekaman_3,Thailand,fraction,0.07
Xekaman_3,Vietnam,fraction,0.07
Pak_Mun,Cambodia,fraction,0.07
Pak_Mun,Laos,fraction,0.07
Pak_Mun,Myanmar,fraction,0.07
Pak_Mun,Thailand,fraction,0.07
Pak_Mun,Vietnam,fraction,0.07
Xe_Kaman_2B,Cambodia,fraction,0.07
Xe_Kaman_2B,Laos,fraction,0.07
Xe_Kaman_2B,Myanmar,fraction,0.07
Xe_Kaman_2B,Thailand,fraction,0.07
Xe_Kaman_2B,Vietnam,fraction,0.07
Xekaman-Sanxay,Cambodia,fraction,0.07
Xekaman-Sanxay,Laos,fraction,0.07
Xekaman-Sanxay,Myanmar,fraction,0.07
Xekaman-Sanxay,Thailand,fraction,0.07
Xekaman-Sanxay,Vietnam,fraction,0.07
Xe_Nam_Noy_5,Cambodia,fraction,0.07
Xe_Nam_Noy_5,Laos,fraction,0.07
Xe_Nam_Noy_5,Myanmar,fraction,0.07
Xe_Nam_Noy_5,Thailand,fraction,0.07
Xe_Nam_Noy_5,Vietnam,fraction,0.07
Xe_Kaman_2A,Cambodia,fraction,0.07
Xe_Kaman_2A,Laos,fraction,0.07
Xe_Kaman_2A,Myanmar,fraction,0.07
Xe_Kaman_2A,Thailand,fraction,0.07
Xe_Kaman_2A,Vietnam,fraction,0.07
Xekatam,Cambodia,fraction,0.07
Xekatam,Laos,fraction,0.07
Xekatam,Myanmar,fraction,0.07
Xekatam,Thailand,fraction,0.07
Xekatam,Vietnam,fraction,0.07
Xekaman_1,Cambodia,fraction,0.07
Xekaman_1,Laos,fraction,0.07
Xekaman_1,Myanmar,fraction,0.07
Xekaman_1,Thailand,fraction,0.07
Xekaman_1,Vietnam,fraction,0.07
Lam_Ta_Khong_P.S.,Cambodia,fraction,0.07
Lam_Ta_Khong_P.S.,Laos,fraction,0.07
Lam_Ta_Khong_P.S.,Myanmar,fraction,0.07
Lam_Ta_Khong_P.S.,Thailand,fraction,0.07
Lam_Ta_Khong_P.S.,Vietnam,fraction,0.07
Nam_Kong_1,Cambodia,fraction,0.07
Nam_Kong_1,Laos,fraction,0.07
Nam_Kong_1,Myanmar,fraction,0.07
Nam_Kong_1,Thailand,fraction,0.07
Nam_Kong_1,Vietnam,fraction,0.07
Nam_Kong_2,Cambodia,fraction,0.07
Nam_Kong_2,Laos,fraction,0.07
Nam_Kong_2,Myanmar,fraction,0.07
Nam_Kong_2,Thailand,fraction,0.07
Nam_Kong_2,Vietnam,fraction,0.07
Plei_Krong,Cambodia,fraction,0.07
Plei_Krong,Laos,fraction,0.07
Plei_Krong,Myanmar,fraction,0.07
Plei_Krong,Thailand,fraction,0.07
Plei_Krong,Vietnam,fraction,0.07
Yali,Cambodia,fraction,0.07
Yali,Laos,fraction,0.07
Yali,Myanmar,fraction,0.07
Yali,Thailand,fraction,0.07
Yali,Vietnam,fraction,0.07
Se_San_3,Cambodia,fraction,0.07
Se_San_3,Laos,fraction,0.07
Se_San_3,Myanmar,fraction,0.07
Se_San_3,Thailand,fraction,0.07
Se_San_3,Vietnam,fraction,0.07
Se_San_3A,Cambodia,fraction,0.07
Se_San_3A,Laos,fraction,0.07
Se_San_3A,Myanmar,fraction,0.07
Se_San_3A,Thailand,fraction,0.07
Se_San_3A,Vietnam,fraction,0.07
Se_San_4,Cambodia,fraction,0.07
Se_San_4,Laos,fraction,0.07
Se_San_4,Myanmar,fraction,0.07
Se_San_4,Thailand,fraction,0.07
Se_San_4,Vietnam,fraction,0.07
Se_San_4A,Cambodia,fraction,0.07
Se_San_4A,Laos,fraction,0.07
Se_San_4A,Myanmar,fraction,0.07
Se_San_4A,Thailand,fraction,0.07
Se_San_4A,Vietnam,fraction,0.07
Mekong_at_Don_sahong,Cambodia,fraction,0.07
Mekong_at_Don_sahong,Laos,fraction,0.07
Mekong_at_Don_sahong,Myanmar,fraction,0.07
Mekong_at_Don_sahong,Thailand,fraction,0.07
Mekong_at_Don_sahong,Vietnam,fraction,0.07
Lower_Se_San_2,Cambodia,fraction,0.07
Lower_Se_San_2,Laos,fraction,0.07
Lower_Se_San_2,Myanmar,fraction,0.07
Lower_Se_San_2,Thailand,fraction,0.07
Lower_Se_San_2,Vietnam,fraction,0.07
Sre_Pok_4,Cambodia,fraction,0.07
Sre_Pok_4,Laos,fraction,0.07
Sre_Pok_4,Myanmar,fraction,0.07
Sre_Pok_4,Thailand,fraction,0.07
Sre_Pok_4,Vietnam,fraction,0.07
Sre_Pok_3,Cambodia,fraction,0.07
Sre_Pok_3,Laos,fraction,0.07
Sre_Pok_3,Myanmar,fraction,0.07
Sre_Pok_3,Thailand,fraction,0.07
Sre_Pok_3,Vietnam,fraction,0.07
Dray_Hlinh_2,Cambodia,fraction,0.07
Dray_Hlinh_2,Laos,fraction,0.07
Dray_Hlinh_2,Myanmar,fraction,0.07
Dray_Hlinh_2,Thailand,fraction,0.07
Dray_Hlinh_2,Vietnam,fraction,0.07
Buon_Kuop,Cambodia,fraction,0.07
Buon_Kuop,Laos,fraction,0.07
Buon_Kuop,Myanmar,fraction,0.07
Buon_Kuop,Thailand,fraction,0.07
Buon_Kuop,Vietnam,fraction,0.07
Buon_Tua_Srah,Cambodia,fraction,0.07
Buon_Tua_Srah,Laos,fraction,0.07
Buon_Tua_Srah,Myanmar,fraction,0.07
Buon_Tua_Srah,Thailand,fraction,0.07
Buon_Tua_Srah,Vietnam,fraction,0.07
